shape,A,d,tw,bf,tf,k,Ixx,Sx,rx,Zx,Iyy,Sy,ry,Zy,rts,ho,J,Cw
W8X10,2.96,7.89,0.17,3.94,0.205,0.505,30.8,7.81,3.22,8.87,2.09,1.06,0.841,1.66,1.01,7.69,0.0426,30.9
W6X25,7.34,6.38,0.32,6.08,0.455,0.705,53.4,16.7,2.7,18.9,17.1,5.61,1.52,8.56,0.74,5.93,0.461,150
W6X20,5.87,6.2,0.26,6.02,0.365,0.615,41.4,13.4,2.66,14.9,13.3,4.41,1.5,6.72,1.7,5.84,0.24,113
W6X15,4.43,5.99,0.23,5.99,0.26,0.51,29.1,9.72,2.56,10.8,9.32,3.11,1.45,4.75,1.66,5.73,0.101,76.5
W6X16,4.74,6.28,0.26,4.03,0.405,0.655,32.1,10.2,2.6,11.7,4.43,2.2,0.967,3.39,1.13,5.88,0.223,38.2
W6X12,3.55,6.03,0.23,4,0.28,0.53,22.1,7.31,2.49,8.3,2.99,1.5,0.918,2.32,1.08,5.75,0.0903,24.7
W6X9,2.68,5.9,0.17,3.94,0.215,0.465,16.4,5.56,2.47,6.23,2.2,1.11,0.905,1.72,1.06,5.69,0.0405,17.7
W6X8_5,2.52,5.83,0.17,3.94,0.195,0.445,14.9,5.1,2.43,5.73,1.99,1.01,0.89,1.56,1.05,5.64,0.0333,15.8
W5X19,5.56,5.15,0.27,5.03,0.43,0.73,26.3,10.2,2.17,11.6,9.13,3.63,1.28,5.53,1.45,4.72,0.316,50.9
W5X16,4.71,5.01,0.24,5,0.36,0.66,21.4,8.55,2.13,9.63,7.51,3,1.26,4.58,1.43,4.65,0.192,40.6
W4X13,3.83,4.16,0.28,4.06,0.345,0.595,11.3,5.46,1.72,6.28,3.86,1.9,1,2.92,1.16,3.82,0.151,14
